episode 126, steps 1001, avg_score : 29.37099934350699
episode 127, steps 1001, avg_score : 28.48099936340004
episode 128, steps 1001, avg_score : 27.8294993779622
episode 129, steps 1001, avg_score : 28.85749935498461
episode 130, steps 1001, avg_score : 26.38599941022694
episode 131, steps 1001, avg_score : 27.352499388623983
episode 132, steps 1001, avg_score : 26.22249941388145
episode 133, steps 1001, avg_score : 27.75399937964976
episode 134, steps 1001, avg_score : 27.158999392949045
episode 135, steps 1001, avg_score : 26.83499940019101
episode 136, steps 1001, avg_score : 28.78349935663864
episode 137, steps 1001, avg_score : 28.630499360058458
episode 138, steps 1001, avg_score : 28.300499367434533
episode 139, steps 1001, avg_score : 27.450499386433513
episode 140, steps 1001, avg_score : 25.838999422453345
episode 141, steps 1001, avg_score : 25.176999437250196
episode 142, steps 1001, avg_score : 28.270499368105085
episode 143, steps 1001, avg_score : 25.49549943013117
episode 144, steps 1001, avg_score : 28.00499937403947
episode 145, steps 1001, avg_score : 24.977999441698195
episode 146, steps 1001, avg_score : 25.262499435339123
episode 147, steps 1001, avg_score : 24.690999448113143
episode 148, steps 1001, avg_score : 25.764499424118547
episode 149, steps 1001, avg_score : 24.331499456148595
episode 150, steps 1001, avg_score : 24.237999458238484
episode 151, steps 1001, avg_score : 23.464499475527553
episode 152, steps 1001, avg_score : 23.257499480154365
episode 153, steps 1001, avg_score : 23.760999468900263
episode 154, steps 1001, avg_score : 22.144499505031852
episode 155, steps 1001, avg_score : 21.958499509189277
episode 156, steps 1001, avg_score : 20.771499535720796
episode 157, steps 1001, avg_score : 21.12049952792004
episode 158, steps 1001, avg_score : 19.08199957348406
episode 159, steps 1001, avg_score : 18.778499580267816
episode 160, steps 1001, avg_score : 19.702999559603633
episode 161, steps 1001, avg_score : 18.756499580759556                                                                                                                                                                                                                         [2020/2755]
episode 162, steps 1001, avg_score : 18.096999595500527
episode 163, steps 1001, avg_score : 19.136999572254716
episode 164, steps 1001, avg_score : 19.157999571785332
episode 165, steps 1001, avg_score : 18.004499597568064
episode 166, steps 1001, avg_score : 17.445999610051512
episode 167, steps 1001, avg_score : 17.809499601926653
episode 168, steps 1001, avg_score : 17.486499609146268
episode 169, steps 1001, avg_score : 16.613999628648163
episode 170, steps 1001, avg_score : 17.127999617159368
